canonical_gene	manuscript_tier	screen	branch_tested	held_out_dataset	n_datasets_remaining	median_dataset_rank_delta	positive_dataset_fraction	robust_directional_support
KCNJ3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	none	4	0.5	1.0	True
KCNJ3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE104323	3	0.5	1.0	True
KCNJ3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE214309	3	0.5	1.0	True
KCNJ3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE292261	3	0.5	1.0	True
KCNJ3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE95752	3	0.5	1.0	True
KCNJ6	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	none	4	0.5	1.0	True
KCNJ6	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE104323	3	0.5	1.0	True
KCNJ6	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE214309	3	0.5	1.0	True
KCNJ6	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE292261	3	0.5	1.0	True
KCNJ6	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE95752	3	0.5	1.0	True
KCNK1	Tier 1 core convergent program	full_matrix	dentate	none	4	0.5	1.0	True
KCNK1	Tier 1 core convergent program	full_matrix	dentate	GSE104323	3	0.5	1.0	True
KCNK1	Tier 1 core convergent program	full_matrix	dentate	GSE214309	3	0.5	1.0	True
KCNK1	Tier 1 core convergent program	full_matrix	dentate	GSE292261	3	0.5	1.0	True
KCNK1	Tier 1 core convergent program	full_matrix	dentate	GSE95752	3	0.5	1.0	True
NFIA	Tier 1 core convergent program	full_matrix	dentate	none	4	0.5	1.0	True
NFIA	Tier 1 core convergent program	full_matrix	dentate	GSE104323	3	0.5	1.0	True
NFIA	Tier 1 core convergent program	full_matrix	dentate	GSE214309	3	0.5	1.0	True
NFIA	Tier 1 core convergent program	full_matrix	dentate	GSE292261	3	0.5	1.0	True
NFIA	Tier 1 core convergent program	full_matrix	dentate	GSE95752	3	0.5	1.0	True
NFIB	Tier 1 core convergent program	full_matrix	dentate	none	4	0.5	1.0	True
NFIB	Tier 1 core convergent program	full_matrix	dentate	GSE104323	3	0.5	1.0	True
NFIB	Tier 1 core convergent program	full_matrix	dentate	GSE214309	3	0.5	1.0	True
