dataset	species	region	axis_type	axis_label	axis_order	comparison_group	n_cells	canonical_gene	source_gene_symbol	nonzero_cells	detection_fraction	mean_expression	mean_log1p_expression	source_path	gene_rank_within_axis
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	SHC1	Shc1	35.0	0.05102040816326531	0.05393586005830904	0.036546766087193025	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	SLIT2	Slit2	152.0	0.22157434402332363	0.30612244897959184	0.18269605514411802	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	SMAD2	Smad2	61.0	0.08892128279883382	0.09183673469387756	0.06281765048159327	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.625
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	SMAD3	Smad3	31.0	0.04518950437317784	0.048104956268221574	0.03250509156497759	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.5
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	SMAD4	Smad4	127.0	0.18513119533527697	0.20845481049562684	0.13760838283555	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.625
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	SNAP25	Snap25	54.0	0.07871720116618076	0.09037900874635568	0.05852830972498223	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.25
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	SOS1	Sos1	48.0	0.06997084548104957	0.0728862973760933	0.049682208284393146	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.375
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	SOX11	Sox11	452.0	0.6588921282798834	2.252186588921283	0.8061664821283537	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.5
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	SOX2	Sox2	406.0	0.5918367346938775	1.08600583090379	0.5776601050771017	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.75
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	SYN1	Syn1	29.0	0.04227405247813411	0.04227405247813411	0.029302140286061824	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.125
