sample_accession	donor_id	marker_call	marker_confidence	feature_type	model_term_supported	target_set	peak_category	n_barcodes	n_features	n_linked_gene_strings	mean_count	mean_detection_fraction	mean_feature_score	median_feature_score
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	downstream_synaptic_excitability	gene_body_overlap	4609	58	6	0.11946641129424439	0.05498986241311976	0.15766052446730108	0.061125460394806486
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	downstream_synaptic_excitability	gene_edge_2kb	4609	5	3	0.4351920156216099	0.18147103493165545	0.5186501574847859	0.3688069181998185
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	downstream_synaptic_excitability	proximal_10kb	4609	15	4	0.1796195848701815	0.08385043754972156	0.24192098138298068	0.23620925963034128
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	medial_pallium_dentate_lineage	distal_100kb	4609	21	1	0.15003771089689946	0.07083449565549804	0.2033527383761674	0.14593857690961315
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	medial_pallium_dentate_lineage	gene_body_overlap	4609	1	1	0.9394662616619657	0.34996745497938814	1.0123802673467324	1.0123802673467324
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	medial_pallium_dentate_lineage	proximal_10kb	4609	6	1	0.2978230997324076	0.13979894409488683	0.3956097120436457	0.3816264619565308
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	shared_neurogenic_niche_state	distal_100kb	4609	23	1	0.21899497203014895	0.09833312894431501	0.2819034246401598	0.1986410146633178
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	shared_neurogenic_niche_state	gene_body_overlap	4609	1	1	0.9468431330006509	0.3497504881753092	1.0159596427528585	1.0159596427528585
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	shared_neurogenic_niche_state	proximal_10kb	4609	3	1	0.35893541621465247	0.14464453605265062	0.43251973239943114	0.26469830409383427
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	shared_postmitotic_granule_maturation	distal_100kb	4609	180	10	0.1687724500373665	0.07791277934476025	0.224759928827655	0.15592124595407475
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	shared_postmitotic_granule_maturation	gene_body_overlap	4609	154	10	0.16786608921562274	0.07893365042421237	0.22634712929603298	0.17571375788894994
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	shared_postmitotic_granule_maturation	gene_edge_2kb	4609	5	5	0.35873291386417877	0.1584291603384682	0.45163905351630573	0.4141877033359886
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	shared_postmitotic_granule_maturation	proximal_10kb	4609	35	10	0.2089886247404147	0.09460372562997861	0.27311534736321413	0.2353211404674116
GSM9558423	H187	ambiguous_neuronal	low	Peaks	FatePolarity	Tier 3 broad both-screen mechanism support	distal_100kb	4609	7	1	0.17589808759259834	0.07565942410811145	0.2237216234668177	0.08555695746103044
GSM9558423	H187	ambiguous_neuronal	low	Peaks	FatePolarity	Tier 3 broad both-screen mechanism support	gene_edge_2kb	4609	1	1	0.014319809069212411	0.00846170535908006	0.02267995436135916	0.02267995436135916
GSM9558423	H187	ambiguous_neuronal	low	Peaks	FatePolarity	Tier 3 broad both-screen mechanism support	proximal_10kb	4609	1	1	0.04621392926882187	0.02278151442829247	0.06795938044890056	0.06795938044890056
GSM9558423	H187	ambiguous_neuronal	low	Peaks	FatePolarity	Tier 4 screen-specific mechanism support	distal_100kb	4609	6	1	0.2509582700513488	0.10421638822593476	0.3074041768590341	0.12911518568962876
GSM9558423	H187	ambiguous_neuronal	low	Peaks	FatePolarity	anterior_telencephalic_pattern	distal_100kb	4609	98	11	0.12257296062273901	0.056774456365318964	0.1658303962755619	0.09367475236030473
GSM9558423	H187	ambiguous_neuronal	low	Peaks	FatePolarity	anterior_telencephalic_pattern	gene_body_overlap	4609	91	7	0.13689890062205098	0.06239822230275691	0.179398997527854	0.10291063018517956
GSM9558423	H187	ambiguous_neuronal	low	Peaks	FatePolarity	anterior_telencephalic_pattern	gene_edge_2kb	4609	7	5	0.08622880699253013	0.0439512754548554	0.12366238836660486	0.08556131813271463
GSM9558423	H187	ambiguous_neuronal	low	Peaks	FatePolarity	anterior_telencephalic_pattern	proximal_10kb	4609	14	7	0.12639866100486624	0.06093667668846666	0.175159934127888	0.09419920282219293
GSM9558423	H187	ambiguous_neuronal	low	Peaks	FatePolarity	cerebellar_fate_rhombic_lip_shh	distal_100kb	4609	206	13	0.15616870327577745	0.07266492110202284	0.2086440587943385	0.11778965546265781
GSM9558423	H187	ambiguous_neuronal	low	Peaks	FatePolarity	cerebellar_fate_rhombic_lip_shh	gene_body_overlap	4609	11	6	0.5532653504013886	0.2268092072821949	0.655619339319471	0.6839696122581744
