population	gene_symbol	n_libraries	mean_log2_expression	median_log2_expression	mean_detection_fraction
Olfactory-bulb GABA, mature proxy	Calb1	24	0.15114280866809146	0.14170257243603016	0.017155298861062387
Olfactory-bulb GABA, mature proxy	Calm1	24	6.46105638104475	6.336708913415887	0.7333426373035269
Olfactory-bulb GABA, mature proxy	Calm2	24	7.726673953329317	7.454692686331388	0.8368092065885621
Olfactory-bulb GABA, mature proxy	Camk2a	24	6.382079508743442	6.434261849869715	0.7153829020604555
Olfactory-bulb GABA, mature proxy	Camk2b	24	6.8591317702784815	6.972130971187206	0.7852477529626746
Olfactory-bulb GABA, mature proxy	Cfl1	24	2.8088794993334623	2.5333679807178964	0.35540909110767793
Olfactory-bulb GABA, mature proxy	Cntn5	24	4.25381786927129	4.357974643583015	0.4269881722815692
Olfactory-bulb GABA, mature proxy	Dcc	24	5.698360317482653	5.633250126185516	0.5635790830256633
Olfactory-bulb GABA, mature proxy	Dcx	24	6.480973423930863	6.411724344680633	0.7442358577638538
Olfactory-bulb GABA, mature proxy	Dkk3	24	0.07643420488404863	0.07524840205797534	0.00942104502852933
Olfactory-bulb GABA, mature proxy	Dll1	24	0.2001473985930191	0.21123359445361745	0.02635268417029474
Olfactory-bulb GABA, mature proxy	Dpysl2	24	4.309486643537304	4.485537373977026	0.536235655922187
Olfactory-bulb GABA, mature proxy	Dpysl3	24	1.2898311230780364	1.3515789468500892	0.16157796740254401
Olfactory-bulb GABA, mature proxy	Emx2	24	0.004222591979934037	0.00311540405919955	0.0005603766231387959
Olfactory-bulb GABA, mature proxy	En1	24	0.0003067440253504542	0.0	4.3294672619099994e-05
Olfactory-bulb GABA, mature proxy	En2	24	0.0008924936995000167	0.0	0.00011707086851460418
Olfactory-bulb GABA, mature proxy	Eomes	24	0.019748471729764905	0.0180509811823273	0.0026186508884416455
Olfactory-bulb GABA, mature proxy	Gabra2	24	7.050216005092616	6.930952662139097	0.7900117276674553
Olfactory-bulb GABA, mature proxy	Gabrb3	24	10.108141351910144	10.137959406479128	0.9638718728798922
Olfactory-bulb GABA, mature proxy	Gap43	24	0.938779307195145	0.8740516019977281	0.11849869367433451
Olfactory-bulb GABA, mature proxy	Gfap	24	0.008918594422702512	0.0046543931125858	0.0011365327045156249
Olfactory-bulb GABA, mature proxy	Gli1	24	0.0019444385131706125	0.0	0.00026513011530728334
Olfactory-bulb GABA, mature proxy	Gli2	24	0.005316300699242879	0.0040527113033554	0.0007147506075283167
Olfactory-bulb GABA, mature proxy	Glis3	24	0.043545255634645	0.03269607652549675	0.00572655115804915
Olfactory-bulb GABA, mature proxy	Gpm6a	24	8.132477919724986	8.235590400412402	0.8900413011718545
Olfactory-bulb GABA, mature proxy	Grin2b	24	10.474344384806981	10.55670504440276	0.9767060538873693
Olfactory-bulb GABA, mature proxy	Hes1	24	0.06085642369563946	0.047923092130797804	0.008205834496346926
Olfactory-bulb GABA, mature proxy	Hes5	24	0.011399082466632487	0.008912916229698899	0.001452536202536804
Olfactory-bulb GABA, mature proxy	Id1	24	0.009015390451608754	0.00608029733732805	0.0011800772110631208
Olfactory-bulb GABA, mature proxy	Id2	24	0.8426929932316165	0.8683333089778595	0.09845016006221326
Olfactory-bulb GABA, mature proxy	Jag1	24	0.22867255508664233	0.22554645469752946	0.03067451301063638
Olfactory-bulb GABA, mature proxy	Kcnd2	24	11.218812954239594	11.325393277563375	0.9458970871439583
Olfactory-bulb GABA, mature proxy	Kcnj3	24	9.113052958524296	9.104897082549819	0.9194847378651145
